Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pHis3_01	Peptides pHis3_02	Peptides pHis3_03	Peptides SMC1_01	Peptides SMC1_02	Peptides SMC1_03	Razor + unique peptides pHis3_01	Razor + unique peptides pHis3_02	Razor + unique peptides pHis3_03	Razor + unique peptides SMC1_01	Razor + unique peptides SMC1_02	Razor + unique peptides SMC1_03	Unique peptides pHis3_01	Unique peptides pHis3_02	Unique peptides pHis3_03	Unique peptides SMC1_01	Unique peptides SMC1_02	Unique peptides SMC1_03	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type pHis3_01	Identification type pHis3_02	Identification type pHis3_03	Identification type SMC1_01	Identification type SMC1_02	Identification type SMC1_03	Sequence coverage pHis3_01 [%]	Sequence coverage pHis3_02 [%]	Sequence coverage pHis3_03 [%]	Sequence coverage SMC1_01 [%]	Sequence coverage SMC1_02 [%]	Sequence coverage SMC1_03 [%]	Intensity	Intensity pHis3_01	Intensity pHis3_02	Intensity pHis3_03	Intensity SMC1_01	Intensity SMC1_02	Intensity SMC1_03	LFQ intensity pHis3_01	LFQ intensity pHis3_02	LFQ intensity pHis3_03	LFQ intensity SMC1_01	LFQ intensity SMC1_02	LFQ intensity SMC1_03	MS/MS count pHis3_01	MS/MS count pHis3_02	MS/MS count pHis3_03	MS/MS count SMC1_01	MS/MS count SMC1_02	MS/MS count SMC1_03	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P32600	P32600	1	1	1	Serine/threonine-protein kinase TOR2	TOR2	sp|P32600|TOR2_YEAST Serine/threonine-protein kinase TOR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOR2 PE=1 SV=3	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.6	0.6	0.6	281.56	2474	2474	0.0051929	2.1761			By MS/MS				0	0	0.6	0	0	0	2745800	0	0	2745800	0	0	0	0	0	1224900	0	0	0	0	0	1	0	0	0	1				498	4704	True	4904	24520	18095	18095		
P32608	P32608	8	8	8	Retrograde regulation protein 2	RTG2	sp|P32608|RTG2_YEAST Retrograde regulation protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RTG2 PE=1 SV=2	1	8	8	8	3	4	5	3	6	4	3	4	5	3	6	4	3	4	5	3	6	4	20.6	20.6	20.6	65.571	588	588	0	13.995	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8	11.9	12.9	8.2	15.3	12.4	245110000	35815000	7371400	146690000	7924300	20928000	26391000	24119000	17702000	27843000	21529000	30861000	27312000	3	1	5	1	2	3	15				499	723;3819;7744;8489;10731;11189;11957;12482	True;True;True;True;True;True;True;True	764;3971;8131;8913;11243;11722;12523;13062	3985;3986;3987;3988;3989;3990;19967;40661;40662;40663;44340;44341;56254;56255;56256;56257;56258;58996;58997;63359;63360;63361;66041;66042;66043;66044;66045;66046	3000;3001;3002;3003;3004;14693;30023;32747;41540;41541;43579;46881;48894;48895;48896	3003;14693;30023;32747;41541;43579;46881;48895		
P32610	P32610	4	4	4	V-type proton ATPase subunit D	VMA8	sp|P32610|VATD_YEAST V-type proton ATPase subunit D OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA8 PE=1 SV=1	1	4	4	4	2	2	4	2	2	2	2	2	4	2	2	2	2	2	4	2	2	2	20.3	20.3	20.3	29.194	256	256	0	9.465	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.9	12.9	20.3	12.9	9	12.9	203190000	15962000	9392900	122860000	8743600	2424400	43812000	16280000	16993000	45059000	14059000	13527000	34366000	2	1	4	1	1	1	10				500	3002;6141;10179;11520	True;True;True;True	3110;6396;10674;12064	15628;32248;32249;53441;53442;53443;53444;53445;60839;60840;60841;60842;60843;60844	11516;23818;39425;39426;39427;39428;39429;44955;44956;44957;44958;44959;44960	11516;23818;39425;44957		
P32611	P32611	4	4	4	54S ribosomal protein RML2, mitochondrial	RML2	sp|P32611|RML2_YEAST 54S ribosomal protein RML2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RML2 PE=1 SV=1	1	4	4	4	0	1	2	1	1	3	0	1	2	1	1	3	0	1	2	1	1	3	15	15	15	43.785	393	393	0.00086655	3.7254		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	2.3	5.9	2.3	3.6	12.7	46221000	0	1333200	23425000	1935100	1018100	18510000	0	0	8816100	0	0	15574000	0	0	1	1	0	1	3				501	3231;9538;9591;11977	True;True;True;True	3347;10005;10061;12543	16787;50133;50134;50135;50400;50401;63447;63448	12358;36945;37160;46946	12358;36945;37160;46946	351	245
P32644	P32644	11	11	11	Putative ATP-dependent RNA helicase ECM32	ECM32	sp|P32644|ECM32_YEAST Putative ATP-dependent RNA helicase ECM32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ECM32 PE=1 SV=1	1	11	11	11	6	8	6	8	5	3	6	8	6	8	5	3	6	8	6	8	5	3	13.5	13.5	13.5	126.97	1121	1121	0	18.86	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.6	10.1	7.9	10.1	5.6	4.1	111320000	18551000	13005000	39175000	15707000	6856600	18023000	20183000	15001000	20626000	17380000	17455000	22928000	5	4	4	7	3	3	26				502	1006;1324;2343;4670;5081;5316;6113;6335;6343;7561;8402	True;True;True;True;True;True;True;True;True;True;True	1054;1380;2429;4870;5293;5540;6368;6598;6606;7942;8825	5586;5587;5588;7216;7217;7218;7219;7220;12291;12292;12293;12294;12295;12296;24368;24369;24370;24371;26533;27870;27871;32100;32101;32102;33219;33220;33221;33256;33257;39798;39799;43945;43946;43947;43948;43949;43950	4192;4193;5350;5351;5352;5353;9019;9020;9021;9022;9023;9024;17989;17990;19569;20535;23700;23701;23702;24521;24548;24549;29367;32465;32466;32467;32468	4192;5350;9021;17989;19569;20535;23701;24521;24548;29367;32465		
P32657	P32657	45	45	45	Chromo domain-containing protein 1	CHD1	sp|P32657|CHD1_YEAST Chromo domain-containing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHD1 PE=1 SV=1	1	45	45	45	24	26	31	29	26	19	24	26	31	29	26	19	24	26	31	29	26	19	35.4	35.4	35.4	168.24	1468	1468	0	273.29	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.7	20.8	24	23	22.1	14.4	1172100000	139660000	87745000	538440000	103400000	73350000	229460000	180550000	166080000	199990000	155980000	167990000	184880000	23	15	23	17	14	15	107				503	625;819;834;1239;1240;1476;1488;2281;2312;2564;2898;2988;3268;3678;4388;4416;4697;5360;5687;6170;6395;6533;6782;6834;7011;7254;7267;7382;7415;7625;8240;8493;8668;8682;8742;9423;9506;9603;10177;10741;11066;11089;11424;12000;12016	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	661;861;877;1292;1293;1538;1550;2365;2396;2654;3001;3096;3386;3824;4568;4598;4897;5585;5928;6425;6660;6807;7066;7118;7303;7581;7582;7603;7750;7786;8009;8656;8917;9098;9112;9172;9884;9971;10073;10672;11253;11593;11617;11968;12566;12582	3522;3523;3524;3525;3526;4542;4543;4544;4545;4546;4653;4654;4655;6795;6796;6797;6798;6799;6800;6801;6802;8020;8021;8022;8064;11975;11976;11977;11978;12138;12139;12140;12141;12142;12143;13345;15145;15146;15569;16985;16986;16987;16988;16989;16990;19256;22846;22847;22983;22984;22985;24487;24488;24489;24490;24491;28082;29954;29955;29956;29957;29958;29959;32416;32417;32418;32419;32420;33468;34189;34190;34191;34192;34193;35441;35442;35443;35444;35445;35695;35696;36699;36700;36701;36702;36703;37981;37982;37983;37984;38129;38130;38810;38811;38812;38972;38973;38974;38975;40141;40142;40143;43181;43182;43183;43184;43185;43186;44356;44357;44358;45236;45237;45238;45239;45240;45241;45242;45243;45321;45322;45323;45324;45325;45326;45327;45328;45572;45573;45574;45575;45576;45577;45578;45579;49513;49514;49515;49516;49517;49984;49985;50441;50442;50443;53431;53432;53433;53434;53435;56291;58260;58261;58262;58263;58264;58377;58378;58379;58380;60287;63524;63525;63583	2648;2649;3408;3409;3410;3411;3490;3491;3492;5041;5042;5043;5044;5045;5046;5945;5946;5981;8779;8780;8781;8902;8903;8904;9769;11141;11473;12498;12499;12500;12501;12502;14189;16832;16833;16932;16933;18076;18077;18078;18079;20682;22062;23940;23941;23942;24716;25245;25246;26155;26156;26157;26158;26159;26350;27107;27108;27109;27110;27111;28070;28071;28072;28073;28177;28178;28655;28766;28767;28768;29630;31896;31897;31898;32755;33388;33389;33390;33391;33392;33393;33394;33395;33456;33457;33458;33459;33640;33641;33642;33643;36470;36471;36472;36473;36833;37192;39418;39419;41566;43017;43018;43019;43020;43021;43099;44524;47003;47004;47050	2648;3408;3491;5042;5045;5945;5981;8780;8903;9769;11141;11473;12498;14189;16832;16932;18076;20682;22062;23942;24716;25246;26159;26350;27110;28070;28177;28655;28767;29630;31898;32755;33389;33457;33642;36472;36833;37192;39419;41566;43017;43099;44524;47003;47050	352	723
P32767	P32767	4	4	4	Importin beta-like protein KAP122	KAP122	sp|P32767|KA122_YEAST Importin beta-like protein KAP122 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAP122 PE=1 SV=1	1	4	4	4	2	3	3	1	1	1	2	3	3	1	1	1	2	3	3	1	1	1	7.8	7.8	7.8	123.53	1081	1081	0	15.615	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.9	6.3	6.4	1.5	1.8	1.8	393990000	23456000	77266000	245740000	1021800	13487000	33021000	29825000	64197000	80698000	36243000	69339000	48601000	0	0	3	1	1	1	6				504	3545;6707;7700;9744	True;True;True;True	3681;6988;8085;10218	18486;35074;35075;40455;40456;40457;51123;51124;51125;51126;51127	13629;25901;25902;29869;37700;37701;37702	13629;25901;29869;37700		
P32769	P32769	2	2	2	Elongation factor 1 alpha-like protein	HBS1	sp|P32769|HBS1_YEAST Elongation factor 1 alpha-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HBS1 PE=1 SV=2	1	2	2	2	2	0	1	1	0	0	2	0	1	1	0	0	2	0	1	1	0	0	5.1	5.1	5.1	68.729	611	611	0.0015314	2.4462	By MS/MS		By MS/MS	By MS/MS			5.1	0	3.1	3.1	0	0	22163000	12507000	0	7974900	1680500	0	0	10102000	0	4932600	3695900	0	0	2	0	1	1	0	0	4				505	5574;11972	True;True	5814;12538	29445;29446;29447;63429	21677;21678;21679;46934	21679;46934		
P32776	P32776	1	1	1	RNA polymerase II transcription factor B subunit 1	TFB1	sp|P32776|TFB1_YEAST General transcription and DNA repair factor IIH subunit TFB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFB1 PE=1 SV=1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	2.3	2.3	2.3	72.894	642	642	0	6.6832		By matching		By matching	By matching	By MS/MS	0	2.3	0	2.3	2.3	2.3	6721800	0	808350	0	615440	1629000	3669000	0	1707600	0	1425700	2987200	3304500	0	0	0	0	0	1	1				506	4164	True	4333	21737;21738;21739;21740	16017	16017		
P32783	P32783	2	2	2	mRNA cap guanine-N7 methyltransferase	ABD1	sp|P32783|MCES_YEAST mRNA cap guanine-N7 methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ABD1 PE=1 SV=1	1	2	2	2	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	6.7	6.7	6.7	50.34	436	436	0.00084962	3.5057		By MS/MS		By matching	By MS/MS	By matching	0	3	0	3	3.7	3.7	9969100	0	2649700	0	2781100	1658800	2879500	0	4590300	0	4411300	0	0	0	1	0	0	1	0	2				507	4075;11661	True;True	4241;12209	21253;21254;61644;61645	15642;45576	15642;45576		
P32784	P32784	2	2	2	Glycerol-3-phosphate O-acyltransferase 1	SCT1	sp|P32784|GPT1_YEAST Glycerol-3-phosphate O-acyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCT1 PE=1 SV=3	1	2	2	2	0	2	1	2	2	1	0	2	1	2	2	1	0	2	1	2	2	1	3.7	3.7	3.7	85.693	759	759	0.00083195	3.2725		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	0	3.7	2.4	3.7	3.7	2.4	15855000	0	3092200	4472800	3342600	1687400	3260300	0	4345900	2748600	4787400	4284000	3382300	0	1	1	2	1	0	5				508	987;10088	True;True	1034;10582	5493;5494;5495;5496;5497;53048;53049;53050	4127;4128;4129;4130;39125	4127;39125		
P32787	P32787	11	11	11	Mitochondrial genome maintenance protein MGM101	MGM101	sp|P32787|MG101_YEAST Mitochondrial genome maintenance protein MGM101 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MGM101 PE=1 SV=1	1	11	11	11	4	6	9	6	9	8	4	6	9	6	9	8	4	6	9	6	9	8	55.8	55.8	55.8	30.09	269	269	0	66.192	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.4	34.2	46.5	34.2	41.3	42.4	472120000	35465000	38779000	190680000	40442000	32137000	134620000	45157000	76672000	71381000	68169000	77904000	98499000	3	4	6	5	8	5	31				509	162;1195;1301;1303;2128;2745;2886;2918;5881;9048;9811	True;True;True;True;True;True;True;True;True;True;True	169;1248;1356;1358;2209;2841;2988;2989;3022;6128;9490;10288	918;919;920;921;922;923;6610;6611;6612;7109;7110;7116;7117;7118;7119;7120;7121;11165;11166;11167;11168;11169;14308;14309;15084;15085;15086;15274;15275;15276;30878;30879;30880;47165;47166;47167;47168;51482;51483;51484;51485;51486	700;701;702;703;704;705;4910;4911;4912;5264;5270;5271;5272;5273;5274;8186;8187;8188;8189;10484;11089;11090;11091;11237;22771;22772;22773;34838;34839;34840;37970;37971	703;4911;5264;5272;8186;10484;11090;11237;22772;34839;37971	353	110
P32790	P32790	19	19	19	Actin cytoskeleton-regulatory complex protein SLA1	SLA1	sp|P32790|SLA1_YEAST Actin cytoskeleton-regulatory complex protein SLA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLA1 PE=1 SV=1	1	19	19	19	10	9	9	12	9	11	10	9	9	12	9	11	10	9	9	12	9	11	23.6	23.6	23.6	135.85	1244	1244	0	99.615	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.6	11.1	11.2	13.8	10.7	14.2	1096800000	189160000	77016000	348680000	174640000	99458000	207880000	160440000	201030000	194620000	183620000	252950000	179620000	10	6	7	8	10	10	51				510	998;1880;3682;3741;3847;3848;6131;8903;9000;9097;9260;9509;9908;10093;10266;10267;10860;11270;11271	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1046;1952;3829;3890;4000;4001;6386;9340;9442;9543;9712;9974;10389;10587;10763;10764;11376;11807;11808	5558;5559;5560;5561;5562;10043;10044;10045;10046;10047;19269;19270;19271;19536;19537;19538;19539;19540;19541;19542;20108;20109;20110;20111;20112;20113;20114;20115;20116;32196;46476;46477;46478;46945;46946;46947;47425;47426;47427;48602;48603;49996;51994;51995;53073;53074;53075;53076;53908;53909;53910;56972;56973;59445;59446;59447;59448;59449;59450;59451;59452;59453;59454;59455;59456	4173;4174;4175;4176;4177;7393;7394;7395;14200;14201;14202;14384;14385;14386;14387;14388;14389;14787;14788;14789;14790;14791;14792;14793;23772;34326;34677;35028;35029;35030;35791;35792;36840;38346;39146;39147;39148;39783;39784;42070;42071;43914;43915;43916;43917;43918;43919;43920;43921;43922;43923	4176;7393;14202;14386;14787;14791;23772;34326;34677;35029;35791;36840;38346;39146;39783;39784;42071;43914;43919		
P32791	P32791	1	1	1	Ferric/cupric reductase transmembrane component 1	FRE1	sp|P32791|FRE1_YEAST Ferric/cupric reductase transmembrane component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FRE1 PE=1 SV=1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2.3	2.3	2.3	78.853	686	686	0.0058309	2.0065					By MS/MS	By matching	0	0	0	0	2.3	2.3	6639300	0	0	0	0	2726900	3912400	0	0	0	0	7173500	2946500	0	0	0	0	1	0	1				511	4023	True	4186	21018;21019	15465	15465		
P32793	P32793	8	5	5	Protein YSC84	YSC84	sp|P32793|YSC84_YEAST Protein YSC84 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YSC84 PE=1 SV=2	1	8	5	5	3	4	6	5	4	5	2	2	3	3	3	3	2	2	3	3	3	3	22.4	16.7	16.7	50.901	468	468	0	15.791	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.3	9.2	15.4	13.9	12	13.7	101980000	22783000	2065400	44366000	6532100	5489400	20745000	23965000	11153000	17601000	7553400	11469000	14837000	2	1	2	1	1	3	10				512	1684;3067;3127;3515;8934;9060;9402;9686	True;False;True;True;False;True;False;True	1750;3177;3238;3649;9372;9503;9861;10159	9036;9037;15937;15938;15939;15940;15941;16256;16257;16258;18349;46627;46628;46629;46630;46631;47218;47219;47220;47221;47222;49395;50856;50857;50858;50859;50860	6690;11729;11730;11731;11732;11733;11972;11973;13524;34446;34447;34448;34449;34874;34875;34876;34877;34878;36393;37506	6690;11730;11973;13524;34448;34877;36393;37506		
P32794	P32794	3	3	3	ATPase family gene 2 protein	AFG2	sp|P32794|AFG2_YEAST ATPase family gene 2 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AFG2 PE=1 SV=1	1	3	3	3	1	2	2	2	0	0	1	2	2	2	0	0	1	2	2	2	0	0	6	6	6	84.747	780	780	0	13.043	By MS/MS	By MS/MS	By MS/MS	By matching			2.1	3.8	4.2	3.8	0	0	15550000	780680	3864900	7874600	3030100	0	0	2920000	4330700	5330300	3214300	0	0	1	1	2	0	0	0	4				513	453;3092;7238	True;True;True	481;3203;7560	2589;2590;16081;16082;16083;16084;37880	1977;11841;11842;27987	1977;11841;27987		
P32799	P32799	1	1	1	Cytochrome c oxidase subunit 6A, mitochondrial	COX13	sp|P32799|COX13_YEAST Cytochrome c oxidase subunit 6A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX13 PE=1 SV=1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	16.3	16.3	16.3	15.021	129	129	0.0015835	2.767		By matching	By MS/MS	By matching	By matching	By MS/MS	0	16.3	16.3	16.3	16.3	16.3	38379000	0	1067400	24893000	1636500	908700	9873100	0	1488600	12132000	1866200	1766400	8123100	0	0	1	0	0	1	2				514	9297	True	9752	48822;48823;48824;48825;48826	35961;35962	35961		
P32829	P32829	1	1	1	Double-strand break repair protein MRE11	MRE11	sp|P32829|MRE11_YEAST Double-strand break repair protein MRE11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRE11 PE=1 SV=2	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1.4	1.4	1.4	77.65	692	692	0.0099361	1.749		By MS/MS		By MS/MS			0	1.4	0	1.4	0	0	921030	0	921030	0	0	0	0	0	1595600	0	0	0	0	0	1	0	1	0	0	2				515	10146	True	10640	53300;53301	39325;39326	39325		
P32832	P32832	2	2	2	Chromatin structure-remodeling complex subunit RSC7	NPL6	sp|P32832|RSC7_YEAST Chromatin structure-remodeling complex subunit RSC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NPL6 PE=1 SV=1	1	2	2	2	0	0	1	1	1	2	0	0	1	1	1	2	0	0	1	1	1	2	8.5	8.5	8.5	49.65	435	435	0	6.1164			By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	4.8	4.8	4.8	8.5	72653000	0	0	32123000	14147000	2326700	24057000	0	0	14736000	23075000	6294200	16903000	0	0	1	1	1	0	3				516	6810;10279	True;True	7094;10776	35568;53959;53960;53961;53962	26258;39817;39818;39819	26258;39818		
P32833	P32833	3	3	3	Origin recognition complex subunit 2	ORC2	sp|P32833|ORC2_YEAST Origin recognition complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ORC2 PE=1 SV=2	1	3	3	3	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	4.5	4.5	4.5	71.237	620	620	0	4.849	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS		1.8	1.8	2.7	1.8	2.6	0	9603800	2869600	1325900	3876700	1072800	458810	0	2869600	2297000	0	1701700	0	0	1	0	1	1	1	0	4				517	8849;8850;12541	True;True;True	9282;9283;13121	46206;46207;66319;66320;66321	34118;34119;49098;49099	34118;34119;49099		
P32835	P32835	9	9	1	GTP-binding nuclear protein GSP1/CNR1	GSP1	sp|P32835|GSP1_YEAST GTP-binding nuclear protein GSP1/CNR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSP1 PE=1 SV=1	1	9	9	1	7	8	9	9	9	9	7	8	9	9	9	9	1	1	1	1	1	1	37.9	37.9	5.9	24.81	219	219	0	32.556	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	33.8	32.9	37.9	37.9	37.9	37.9	2696000000	304040000	169880000	1146700000	271430000	184470000	619460000	342200000	405480000	478550000	410570000	461020000	391280000	8	9	9	8	8	6	48				518	3673;3674;5216;6988;7813;8086;8836;9575;11016	True;True;True;True;True;True;True;True;True	3819;3820;5432;7280;8205;8496;9269;10044;11542	19232;19233;19234;19235;19236;19237;19238;19239;19240;19241;19242;19243;27302;27303;27304;27305;27306;36593;36594;36595;36596;36597;36598;40990;40991;40992;40993;40994;40995;40996;42469;42470;42471;42472;42473;46129;46130;46131;46132;46133;46134;46135;50295;50296;50297;50298;50299;50300;50301;50302;50303;50304;50305;50306;58018;58019;58020;58021;58022;58023	14173;14174;14175;14176;14177;14178;14179;14180;14181;20128;20129;20130;20131;27031;27032;27033;27034;30286;30287;30288;30289;30290;30291;31368;31369;34056;34057;34058;34059;34060;34061;37066;37067;37068;37069;37070;37071;37072;37073;37074;37075;37076;42858;42859;42860;42861;42862;42863	14175;14179;20128;27032;30288;31368;34058;37071;42863		
P32836	P32836	9	1	1	GTP-binding nuclear protein GSP2/CNR2	GSP2	sp|P32836|GSP2_YEAST GTP-binding nuclear protein GSP2/CNR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSP2 PE=1 SV=1	1	9	1	1	6	8	9	9	9	8	0	1	1	1	1	0	0	1	1	1	1	0	38.2	6.4	6.4	24.99	220	220	0	3.8793	By matching	By matching	By MS/MS	By matching	By matching	By matching	27.7	33.2	38.2	38.2	38.2	31.8	12538000	0	2627300	7005200	1449300	1455800	0	0	4057900	3141100	2883900	3722300	0	0	0	1	0	0	0	1				519	3673;3674;5216;6988;7813;8086;8837;9575;11016	False;False;False;False;False;False;True;False;False	3819;3820;5432;7280;8205;8496;9270;10044;11542	19232;19233;19234;19235;19236;19237;19238;19239;19240;19241;19242;19243;27302;27303;27304;27305;27306;36593;36594;36595;36596;36597;36598;40990;40991;40992;40993;40994;40995;40996;42469;42470;42471;42472;42473;46136;46137;46138;46139;50295;50296;50297;50298;50299;50300;50301;50302;50303;50304;50305;50306;58018;58019;58020;58021;58022;58023	14173;14174;14175;14176;14177;14178;14179;14180;14181;20128;20129;20130;20131;27031;27032;27033;27034;30286;30287;30288;30289;30290;30291;31368;31369;34062;37066;37067;37068;37069;37070;37071;37072;37073;37074;37075;37076;42858;42859;42860;42861;42862;42863	14175;14179;20128;27032;30288;31368;34062;37071;42863		
P32843	P32843	3	3	3	Mitochondrial escape protein 2	YME2	sp|P32843|YME2_YEAST Mitochondrial escape protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YME2 PE=1 SV=1	1	3	3	3	2	2	1	2	3	2	2	2	1	2	3	2	2	2	1	2	3	2	3.5	3.5	3.5	96.687	850	850	0.0015823	2.7629	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	2.2	2.2	1.3	2.2	3.5	2.6	32120000	4182900	4309000	6030600	3055100	4240500	10302000	5118700	9111700	4314500	5714600	8404800	5433400	2	2	0	1	2	1	8				520	6716;7789;8160	True;True;True	6998;8179;8571	35117;35118;40856;40857;40858;40859;42811;42812;42813;42814;42815;42816	25932;30176;30177;30178;31617;31618;31619;31620	25932;30178;31620		
P32844	P32844	1	1	1	Exocyst complex component SEC6	SEC6	sp|P32844|SEC6_YEAST Exocyst complex component SEC6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC6 PE=1 SV=2	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	2	93.427	805	805	1	-2	By MS/MS						2	0	0	0	0	0	19637000	19637000	0	0	0	0	0	19637000	0	0	0	0	0	1	0	0	0	0	0	1	+			521	7835	True	8231	41159	30418	30418	354;355	783;795
P32849	P32849	1	1	1	DNA repair protein RAD5	RAD5	sp|P32849|RAD5_YEAST DNA repair protein RAD5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAD5 PE=1 SV=1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0.9	0.9	0.9	134	1169	1169	0.00079491	2.8347		By MS/MS	By matching	By matching			0	0.9	0.9	0.9	0	0	5298400	0	1427900	2858800	1011700	0	0	0	2602100	1296900	1454800	0	0	0	1	0	0	0	0	1				522	2356	True	2442	12365;12366;12367	9073	9073		
